"","instr","college_student","inFavor_inclusion_diffRating_in_Qguide","strongOpin","age","male","gender_TEXT","yearSchool","condition","instr_A","product_clean1","product_neutral1","product_neutral2","product_clean2","product_clean3","product_neutral3","product_clean4","product_neutral4","product_neutral5","product_clean5","selfAliena_1","selfAliena_2","selfAliena_3","selfAliena_4","amountChoice_writing_essay","av_products_clean","av_products_neutral","self_alienation","amount_choice","cond_Num"
349,1,1,1,6,19,1,"            ","Sophomore","No_Choice     ",1,2,5,2,3,2,1,1,2,6,2,6,5,5,4,2,2,3.2,5,2,0
350,1,1,1,5,20,1,"            ","2016","ProAttitudinal",1,3,2,6,3,1,2,1,2,7,1,3,2,2,2,7,1.8,3.8,2.25,7,2
351,1,1,1,7,19,0,"            ","Sophomore","ProAttitudinal",1,2,2,1,6,4,4,6,4,2,5,2,2,2,2,7,4.6,2.6,2,7,2
352,1,1,1,6,20,0,"            ","Junior","No_Choice     ",1,6,6,2,5,1,5,2,5,6,5,1,1,1,1,5,3.8,4.8,1,5,0
353,1,1,1,6,20,1,"            ","Junior","High_Choice   ",1,4,4,7,7,1,4,4,2,7,2,1,1,1,1,1,3.6,4.8,1,1,1
354,1,1,1,7,21,0,"            ","2016 (junior)","No_Choice     ",1,6,7,7,7,6,5,7,1,5,6,5,3,3,3,4,6.4,5,3.5,4,0
355,1,1,1,3,19,1,"            ","sophomore","ProAttitudinal",1,2,6,3,2,2,5,2,2,2,2,2,2,3,1,1,2,3.6,2,1,2
356,1,1,1,5,20,0,"            ","Sophomore","High_Choice   ",1,4,5,3,4,3,6,6,3,4,4,4,4,4,4,5,4.2,4.2,4,5,1
357,1,1,1,6,20,1,"            ","Junior","No_Choice     ",1,7,4,2,6,4,3,6,1,6,6,4,3,2,2,1,5.8,3.2,2.75,1,0
358,1,1,1,7,23,0,"            ","2015","No_Choice     ",1,3,1,6,4,1,1,4,2,1,3,1,2,2,3,5,3,2.2,2,5,0
359,1,1,1,7,20,1,"            ","Sophomore","ProAttitudinal",1,3,4,2,4,3,2,2,2,1,2,4,4,2,2,6,2.8,2.2,3,6,2
360,1,1,1,6,19,0,"            ","2016","No_Choice     ",1,6,6,4,4,3,3,3,3,4,3,1,1,1,1,1,3.8,4,1,1,0
361,1,1,1,7,21,0,"            ","Senior","High_Choice   ",1,3,5,1,5,4,3,5,2,7,6,3,3,3,3,7,4.6,3.6,3,7,1
362,1,1,1,7,21,0,"            ","Senior","ProAttitudinal",1,3,7,1,7,2,6,6,1,1,4,1,1,1,1,7,4.4,3.2,1,7,2
363,1,1,1,4,18,1,"            ","Soph","No_Choice     ",1,1,1,1,1,1,1,1,1,1,1,4,4,4,4,1,1,1,4,1,0
364,1,1,1,4,20,0,"            ","Junior","No_Choice     ",1,7,7,3,7,6,6,7,2,2,6,4,3,3,3,2,6.6,4,3.25,2,0
365,1,1,1,6,19,0,"            ","sophomore","ProAttitudinal",1,2,5,2,1,1,1,1,1,2,1,1,1,1,1,3,1.2,2.2,1,3,2
366,1,1,1,5,21,1,"            ","2015","High_Choice   ",1,5,6,2,2,6,4,4,4,7,6,2,2,2,2,1,4.6,4.6,2,1,1
367,1,1,1,7,22,0,"            ","Senior (2015)","ProAttitudinal",1,6,4,7,7,3,3,6,1,7,5,1,1,1,1,7,5.4,4.4,1,7,2
368,1,1,1,1,20,0,"            ","junior","High_Choice   ",1,3,3,1,1,2,2,3,1,1,2,5,4,5,5,5,2.2,1.6,4.75,5,1
369,1,1,1,7,21,1,"            ","2015","No_Choice     ",1,7,5,6,6,6,7,5,1,4,7,1,1,1,1,7,6.2,4.6,1,7,0
370,1,1,1,5,20,0,"            ","2016","ProAttitudinal",1,1,5,4,4,2,3,3,1,4,4,5,3,3,3,5,2.8,3.4,3.5,5,2
371,1,1,1,7,21,1,"            ","Senior","High_Choice   ",1,6,2,7,5,1,1,5,1,1,4,1,1,1,1,1,4.2,2.4,1,1,1
372,1,1,1,4,21,1,"            ","Senior","ProAttitudinal",1,1,6,1,5,5,6,1,1,1,5,3,1,1,1,3,3.4,3,1.5,3,2
373,1,1,1,5,21,0,"            ","2015","No_Choice     ",1,4,5,3,3,4,4,3,3,6,3,5,5,6,5,2,3.4,4.2,5.25,2,0
