district,state,cd,member,party,harris_pct_2024map,trump_pct_2024map,dem_margin_2024map,harris_pct_2026map,trump_pct_2026map,dem_margin_2026map,redistricted
MN-06,MN,6,Tom Emmer,R,39.2,58.8,-19.7,39.2,58.9,-19.7,0
MN-07,MN,7,Michelle Fischbach,R,30.9,67.4,-36.5,30.9,67.4,-36.5,0
MN-08,MN,8,Pete Stauber,R,42,56.3,-14.3,42,56.3,-14.3,0
MO-01,MO,1,Wesley Bell,D,77.7,20.5,57.2,77.7,20.6,57.2,0
MO-02,MO,2,Ann Wagner,R,45.2,53.1,-7.9,45.2,53.1,-7.9,0
MO-03,MO,3,Bob Onder,R,35.9,62.7,-26.7,35.9,62.7,-26.7,0
MO-04,MO,4,Mark Alford,R,28.2,70.5,-42.3,28.2,70.5,-42.3,0
MO-05,MO,5,Emanuel Cleaver,D,60.7,37.6,23.1,60.7,37.6,23.1,0
MO-06,MO,6,Sam Graves,R,30,68.8,-38.9,30,68.8,-38.9,0
MO-07,MO,7,Eric Burlison,R,28.1,70.7,-42.6,28.1,70.7,-42.6,0
MO-08,MO,8,Jason Smith,R,22.5,76.6,-54.1,22.5,76.6,-54.1,0
MS-01,MS,1,Trent Kelly,R,30.8,67.9,-37,30.8,67.8,-37,0
MS-02,MS,2,Bennie Thompson,D,59.7,39.3,20.4,59.7,39.3,20.4,0
MS-03,MS,3,Michael Guest,R,34.9,64.1,-29.2,34.9,64.1,-29.2,0
MS-04,MS,4,Mike Ezell,R,28.2,70.7,-42.5,28.2,70.7,-42.5,0
MT-01,MT,1,Ryan Zinke,R,42.7,54.2,-11.6,42.7,54.2,-11.6,0
MT-02,MT,2,Troy Downing,R,33.6,63.2,-29.5,33.6,63.2,-29.5,0
NC-01,NC,1,Don Davis,D,48.1,51.2,-3.1,43.8,55.4,-11.6,1
NC-02,NC,2,Deborah Ross,D,66.1,32.2,33.9,66.1,32.2,33.9,0
NC-03,NC,3,Greg Murphy,R,38.6,60.5,-21.9,42.7,56.4,-13.6,1
NC-04,NC,4,Valerie Foushee,D,71.8,26.5,45.3,71.8,26.5,45.3,0
NC-05,NC,5,Virginia Foxx,R,40.6,58.4,-17.8,40.6,58.4,-17.8,0
NC-06,NC,6,Addison McDowell,R,40.8,58,-17.2,40.8,58,-17.2,0
NC-07,NC,7,David Rouzer,R,42.6,56.5,-13.8,42.6,56.5,-13.8,0
NC-08,NC,8,Mark Harris,R,39.8,59.2,-19.4,39.8,59.2,-19.4,0
NC-09,NC,9,Richard Hudson,R,41.6,57.4,-15.8,41.5,57.4,-15.8,0
NC-10,NC,10,Pat Harrigan,R,40.6,58.4,-17.7,40.6,58.4,-17.7,0
NC-11,NC,11,Chuck Edwards,R,44.7,54.2,-9.5,44.7,54.2,-9.5,0
NC-12,NC,12,Alma Adams,D,72.2,26,46.2,72.2,26,46.2,0
NC-13,NC,13,Brad Knott,R,41.2,57.7,-16.5,41.2,57.7,-16.5,0
NC-14,NC,14,Tim Moore,R,42,57,-15.1,42,57,-15.1,0
ND-AL,ND,99,Julie Fedorchak,R,30.8,67.5,-36.8,30.8,67.5,-36.8,0
NE-01,NE,1,Mike Flood,R,42.8,55.8,-13,42.8,55.8,-13,0
NE-02,NE,2,Don Bacon,R,51.6,47,4.6,51.6,47,4.6,0
NE-03,NE,3,Adrian Smith,R,22.5,76.3,-53.8,22.5,76.3,-53.8,0
NH-01,NH,1,Chris Pappas,D,50.5,48.5,2,50.5,48.5,2,0
NH-02,NH,2,Maggie Goodlander,D,51.3,47.7,3.6,51.3,47.7,3.6,0
NJ-01,NJ,1,Donald Norcross,D,58.6,39.9,18.7,58.6,39.9,18.7,0
NJ-02,NJ,2,Jeff Van Drew,R,43,55.6,-12.6,43,55.6,-12.6,0
NJ-03,NJ,3,Herb Conaway,D,53.4,45,8.4,53.4,45,8.4,0
NJ-04,NJ,4,Chris Smith,R,34.3,64.4,-30.1,34.3,64.4,-30.1,0
NJ-05,NJ,5,Josh Gottheimer,D,49.8,48.3,1.5,49.8,48.3,1.5,0
